postId;postHistoryId;localId;blockTypeId;possiblePredOrSuccLocalIds;numberOfPossibleSuccessorsOrPredecessors
16558194;40644824;8;2;[8, 10, 12, 14, 16];5
16558194;40644824;10;2;[8, 10, 12, 14, 16];5
16558194;40644824;12;2;[8, 10, 12, 14, 16];5
16558194;40644824;14;2;[8, 10, 12, 14, 16];5
16558194;40644824;16;2;[18, 20];2
16558194;40644824;18;2;[18, 20];2
16558194;40647284;8;2;[6, 8, 10, 12, 14];5
16558194;40647284;10;2;[6, 8, 10, 12, 14];5
16558194;40647284;12;2;[6, 8, 10, 12, 14];5
16558194;40647284;14;2;[6, 8, 10, 12, 14];5
16558194;40647284;16;2;[6, 8, 10, 12, 14];5
16558194;40647284;18;2;[16, 18];2
16558194;40647284;20;2;[16, 18];2
16558194;40647284;8;2;[8, 10, 12, 14];4
16558194;40647284;10;2;[8, 10, 12, 14];4
16558194;40647284;12;2;[8, 10, 12, 14];4
16558194;40647284;14;2;[8, 10, 12, 14];4
16558194;40647284;16;2;[8, 10, 12, 14];4
16558194;40647284;18;2;[16, 18];2
16558194;40647284;20;2;[16, 18];2
16558194;40678148;8;2;[8, 10, 12, 14, 16];5
16558194;40678148;10;2;[8, 10, 12, 14, 16];5
16558194;40678148;12;2;[8, 10, 12, 14, 16];5
16558194;40678148;14;2;[8, 10, 12, 14, 16];5
16558194;40678148;16;2;[18, 20];2
16558194;40678148;18;2;[18, 20];2
16755862;41195781;5;1;[5, 11];2
16755862;41195781;11;1;[5, 11];2
16755862;41195846;5;1;[5, 11];2
16755862;41195846;11;1;[5, 11];2
18882050;47561271;2;2;[2, 8];2
18882050;47561271;8;2;[2, 8];2
18882050;47561891;2;2;[2, 8];2
18882050;47561891;8;2;[2, 8];2
18882050;47561891;2;2;[2, 8];2
18882050;47561891;8;2;[2, 8];2
18882050;47562285;2;2;[2, 8];2
18882050;47562285;8;2;[2, 8];2
18908010;48043978;4;2;[4, 12];2
18908010;48059344;4;2;[4, 12];2
18908010;48059344;12;2;[4, 12];2
18908010;48060927;4;2;[4, 12];2
18908010;48060927;12;2;[4, 12];2
18908010;48060927;4;2;[4, 12];2
18908010;48060927;12;2;[4, 12];2
18908010;48062409;4;2;[4, 12];2
18908010;48062409;12;2;[4, 12];2
18908010;48062409;4;2;[4, 16];2
18908010;48062409;12;2;[4, 16];2
18908010;48125757;4;2;[4, 12];2
18908010;48125757;16;2;[4, 12];2
18908010;48125757;4;2;[4, 16];2
18908010;48125757;16;2;[4, 16];2
18908010;146149599;4;2;[4, 16];2
18908010;146149599;16;2;[4, 16];2
20482888;53275577;3;1;[3, 7];2
20482888;53275577;7;1;[3, 7];2
20482888;53276404;3;1;[3, 7];2
20482888;53276404;7;1;[3, 7];2
21325530;56374463;12;2;[2, 12];2
21325530;56375675;14;2;[2, 12];2
22115936;59288614;2;2;[2, 4];2
22115936;59288614;4;2;[2, 4];2
22115936;59299364;2;2;[2, 4];2
22115936;59299364;4;2;[2, 4];2
22115936;59299364;2;2;[2, 4];2
22115936;59299364;4;2;[2, 4];2
22115936;59310505;2;2;[2, 4];2
22115936;59310505;4;2;[2, 4];2
22115936;59310505;2;2;[2, 4];2
22115936;59310505;4;2;[2, 4];2
22115936;116475327;2;2;[2, 4];2
22115936;116475327;4;2;[2, 4];2
25095831;70649096;4;2;[4, 8];2
25095831;70680196;4;2;[4, 8];2
25095831;70680196;8;2;[4, 8];2
25095831;70680358;4;2;[4, 8];2
25095831;70680358;8;2;[4, 8];2
25095831;70680358;4;2;[4, 8];2
25095831;70680358;8;2;[4, 8];2
25095831;70681924;4;2;[4, 8];2
25095831;70681924;8;2;[4, 8];2
26050858;74308811;2;2;[2, 4];2
26314477;75318111;3;1;[3, 7];2
26314477;75318111;7;1;[3, 7];2
26314477;143034213;3;1;[3, 7];2
26314477;143034213;7;1;[3, 7];2
26587840;76365110;2;2;[2, 4];2
26587840;76365110;4;2;[2, 4];2
26587840;76365572;2;2;[2, 4];2
26587840;76365572;4;2;[2, 4];2
26821382;77256253;3;2;[3, 7];2
26821382;77256253;7;2;[3, 7];2
26821382;77256392;3;2;[3, 7];2
26821382;77256392;7;2;[3, 7];2
29140576;86199974;5;1;[5, 15];2
29140576;86199974;6;2;[6, 16];2
29140576;86199974;7;1;[7, 17];2
29140576;86199974;8;2;[8, 18];2
29140576;86199974;9;1;[9, 19];2
29140576;86199974;10;2;[10, 20];2
29140576;86199974;11;1;[11, 21];2
29140576;86199974;12;2;[12, 22];2
29140576;86199974;13;1;[13, 23];2
29140576;86199974;15;1;[5, 15];2
29140576;86199974;16;2;[6, 16];2
29140576;86199974;17;1;[7, 17];2
29140576;86199974;18;2;[8, 18];2
29140576;86199974;19;1;[9, 19];2
29140576;86199974;20;2;[10, 20];2
29140576;86199974;21;1;[11, 21];2
29140576;86199974;22;2;[12, 22];2
29140576;86199974;23;1;[13, 23];2
29140576;86442505;5;1;[5, 15];2
29140576;86442505;6;2;[6, 16];2
29140576;86442505;7;1;[7, 17];2
29140576;86442505;8;2;[8, 18];2
29140576;86442505;9;1;[9, 19];2
29140576;86442505;10;2;[10, 20];2
29140576;86442505;11;1;[11, 21];2
29140576;86442505;12;2;[12, 22];2
29140576;86442505;13;1;[13, 23];2
29140576;86442505;15;1;[5, 15];2
29140576;86442505;16;2;[6, 16];2
29140576;86442505;17;1;[7, 17];2
29140576;86442505;18;2;[8, 18];2
29140576;86442505;19;1;[9, 19];2
29140576;86442505;20;2;[10, 20];2
29140576;86442505;21;1;[11, 21];2
29140576;86442505;22;2;[12, 22];2
29140576;86442505;23;1;[13, 23];2
29140576;86442505;5;1;[5, 15];2
29140576;86442505;6;2;[6, 16];2
29140576;86442505;7;1;[7, 17];2
29140576;86442505;8;2;[8, 18];2
29140576;86442505;9;1;[9, 19];2
29140576;86442505;10;2;[10, 20];2
29140576;86442505;11;1;[11, 21];2
29140576;86442505;12;2;[12, 22];2
29140576;86442505;13;1;[13, 23];2
29140576;86442505;15;1;[5, 15];2
29140576;86442505;16;2;[6, 16];2
29140576;86442505;17;1;[7, 17];2
29140576;86442505;18;2;[8, 18];2
29140576;86442505;19;1;[9, 19];2
29140576;86442505;20;2;[10, 20];2
29140576;86442505;21;1;[11, 21];2
29140576;86442505;22;2;[12, 22];2
29140576;86442505;23;1;[13, 23];2
29140576;86457070;5;1;[5, 15];2
29140576;86457070;6;2;[6, 16];2
29140576;86457070;7;1;[7, 17];2
29140576;86457070;8;2;[8, 18];2
29140576;86457070;9;1;[9, 19];2
29140576;86457070;10;2;[10, 20];2
29140576;86457070;11;1;[11, 21];2
29140576;86457070;12;2;[12, 22];2
29140576;86457070;13;1;[13, 23];2
29140576;86457070;15;1;[5, 15];2
29140576;86457070;16;2;[6, 16];2
29140576;86457070;17;1;[7, 17];2
29140576;86457070;18;2;[8, 18];2
29140576;86457070;19;1;[9, 19];2
29140576;86457070;20;2;[10, 20];2
29140576;86457070;21;1;[11, 21];2
29140576;86457070;22;2;[12, 22];2
29140576;86457070;23;1;[13, 23];2
29140576;86457070;5;1;[5, 15];2
29140576;86457070;6;2;[6, 16];2
29140576;86457070;7;1;[7, 17];2
29140576;86457070;8;2;[8, 18];2
29140576;86457070;9;1;[9, 19];2
29140576;86457070;10;2;[10, 20];2
29140576;86457070;11;1;[11, 21];2
29140576;86457070;12;2;[12, 22];2
29140576;86457070;13;1;[13, 23];2
29140576;86457070;15;1;[5, 15];2
29140576;86457070;16;2;[6, 16];2
29140576;86457070;17;1;[7, 17];2
29140576;86457070;18;2;[8, 18];2
29140576;86457070;19;1;[9, 19];2
29140576;86457070;20;2;[10, 20];2
29140576;86457070;21;1;[11, 21];2
29140576;86457070;22;2;[12, 22];2
29140576;86457070;23;1;[13, 23];2
29140576;86533374;5;1;[5, 15];2
29140576;86533374;6;2;[6, 16];2
29140576;86533374;7;1;[7, 17];2
29140576;86533374;8;2;[8, 18];2
29140576;86533374;9;1;[9, 19];2
29140576;86533374;10;2;[10, 20];2
29140576;86533374;11;1;[11, 21];2
29140576;86533374;12;2;[12, 22];2
29140576;86533374;13;1;[13, 23];2
29140576;86533374;15;1;[5, 15];2
29140576;86533374;16;2;[6, 16];2
29140576;86533374;17;1;[7, 17];2
29140576;86533374;18;2;[8, 18];2
29140576;86533374;19;1;[9, 19];2
29140576;86533374;20;2;[10, 20];2
29140576;86533374;21;1;[11, 21];2
29140576;86533374;22;2;[12, 22];2
29140576;86533374;23;1;[13, 23];2
29774793;88653057;2;2;[2, 6];2
29774793;88653781;2;2;[2, 6];2
29774793;88653781;6;2;[2, 6];2
29774793;88654236;2;2;[2, 6];2
29774793;88654236;6;2;[2, 6];2
29774793;88654236;2;2;[2, 6];2
29774793;88654236;6;2;[2, 6];2
29774793;88654313;2;2;[2, 6];2
29774793;88654313;6;2;[2, 6];2
29774793;88654543;2;2;[2, 6];2
30182302;90250866;3;1;[3, 7];2
30182302;90250866;4;2;[4, 8];2
33744555;104258999;5;1;[5, 7];2
33744555;104258999;7;1;[5, 7];2
33744555;104259594;5;1;[5, 7];2
33744555;104259594;7;1;[5, 7];2
33744555;104259594;5;1;[5, 7];2
33744555;104259594;7;1;[5, 7];2
33744555;104260126;5;1;[5, 7];2
33744555;104260126;7;1;[5, 7];2
33774487;104376543;3;2;[3, 6];2
33774487;104379559;3;2;[3, 6];2
33774487;104379559;6;2;[3, 6];2
33774487;146113983;3;2;[3, 6];2
33774487;146113983;6;2;[3, 6];2
34049436;105478198;3;2;[3, 6, 9];3
34927800;108982872;2;2;[2, 6];2
34927800;109038891;2;2;[2, 6];2
34975788;109177406;6;2;[6, 8, 10];3
34975788;109177406;8;2;[6, 8, 10];3
34975788;109177406;10;2;[6, 8, 10];3
34975788;109230575;6;2;[6, 8, 10];3
34975788;109230575;8;2;[6, 8, 10];3
34975788;109230575;10;2;[6, 8, 10];3
37239577;118132572;3;1;[3, 9];2
37239577;118132572;9;1;[3, 9];2
37239577;118133095;3;1;[3, 9];2
37239577;118133095;9;1;[3, 9];2
37252125;118179704;3;1;[3, 7];2
37252125;118180594;3;1;[3, 7];2
37252125;118180594;7;1;[3, 7];2
37252125;118183099;3;1;[3, 7];2
37252125;118183099;7;1;[3, 7];2
38227074;122047771;2;2;[2, 5];2
38227074;122047771;5;2;[2, 5];2
38227074;122052226;2;2;[2, 5];2
38227074;122052226;5;2;[2, 5];2
39451115;126919414;5;1;[7, 11];2
39451115;126919414;9;1;[7, 11];2
39451115;126924079;7;1;[5, 9];2
39451115;126924079;11;1;[5, 9];2
41292793;134454286;3;1;[3, 7];2
41292793;134454286;7;1;[3, 7];2
41292793;134454504;3;1;[3, 7];2
41292793;134454504;7;1;[3, 7];2
41292793;134454504;3;1;[3, 7];2
41292793;134454504;7;1;[3, 7];2
41292793;134454729;3;1;[3, 7];2
41292793;134454729;7;1;[3, 7];2
41292793;134454729;3;1;[3, 7];2
41292793;134454729;7;1;[3, 7];2
41292793;134454758;3;1;[3, 7];2
41292793;134454758;7;1;[3, 7];2
41740439;136354145;4;2;[4, 8];2
41740439;136354145;8;2;[4, 8];2
41740439;136355096;4;2;[4, 8];2
41740439;136355096;8;2;[4, 8];2
42070509;137707769;3;2;[3, 6, 9, 12];4
42070509;137707769;6;2;[3, 6, 9, 12];4
42070509;137707769;9;2;[3, 6, 9, 12];4
42070509;137710868;3;2;[3, 6, 9];3
42070509;137710868;6;2;[3, 6, 9];3
42070509;137710868;9;2;[3, 6, 9];3
42070509;137710868;12;2;[3, 6, 9];3
42190316;138205144;2;2;[2, 4];2
42190316;138205144;4;2;[2, 4];2
42190316;138205621;2;2;[2, 4];2
42190316;138205621;4;2;[2, 4];2
42251234;138447173;8;2;[8, 12];2
42251234;138447173;12;2;[8, 12];2
42251234;138447461;8;2;[8, 12];2
42251234;138447461;12;2;[8, 12];2
42399384;139039196;3;1;[3, 9];2
42399384;139041361;3;1;[3, 9];2
42399384;139041361;9;1;[3, 9];2
42399384;146409038;3;1;[3, 9];2
42399384;146409038;9;1;[3, 9];2
42444874;139218162;4;2;[4, 6];2
42977775;141353785;3;1;[3, 7];2
42977775;141354829;3;1;[3, 7, 11];3
42977775;141354829;7;1;[3, 7, 11];3
42977775;141370327;3;1;[3, 7];2
42977775;141370327;7;1;[3, 7];2
42977775;141370327;11;1;[3, 7];2
42977775;141370327;3;1;[3, 7, 11, 15];4
42977775;141370327;7;1;[3, 7, 11, 15];4
42977775;141370327;11;1;[3, 7, 11, 15];4
42977775;141375104;3;1;[3, 7, 11];3
42977775;141375104;7;1;[3, 7, 11];3
42977775;141375104;11;1;[3, 7, 11];3
42977775;141375104;15;1;[3, 7, 11];3
43484122;143432845;2;2;[2, 4];2
43484122;143432845;4;2;[2, 4];2
43484122;146428318;2;2;[2, 4];2
43484122;146428318;4;2;[2, 4];2
684156;1186193;2;1;[2, 6];2
684156;1186194;2;1;[2, 6];2
684156;1186194;6;1;[2, 6];2
684156;1186195;2;1;[2, 6];2
684156;1186195;6;1;[2, 6];2
2130958;4300377;2;2;[2, 8];2
2337537;4746595;3;1;[3, 7];2
2337537;4746595;7;1;[3, 7];2
2337537;4746711;3;1;[3, 7];2
2337537;4746711;7;1;[3, 7];2
4190580;8825974;2;2;[2, 8];2
4190580;8826343;2;2;[2, 8];2
4190580;8826343;8;2;[2, 8];2
4190580;8827793;2;2;[2, 8];2
4190580;8827793;8;2;[2, 8];2
6483887;14171053;5;1;[9, 13];2
6483887;14171053;9;1;[9, 13];2
6483887;14171053;13;1;[9, 13];2
6483887;119452637;9;1;[5, 9, 13];3
6483887;119452637;13;1;[5, 9, 13];3
6537320;14250003;6;2;[6, 10];2
7082643;15548371;3;1;[3, 7];2
7082643;15548371;7;1;[3, 7];2
7082643;15548539;3;1;[3, 7];2
7082643;15548539;7;1;[3, 7];2
8204401;18317990;2;2;[2, 4];2
9217140;20906458;2;2;[2, 4];2
9217140;20906458;4;2;[2, 4];2
9217140;20906719;2;2;[2, 4];2
9217140;20906719;4;2;[2, 4];2
9746596;22262328;5;1;[5, 9];2
9746596;22262328;9;1;[5, 9];2
9746596;22264439;5;1;[5, 9];2
9746596;22264439;9;1;[5, 9];2
10152996;23274952;9;1;[9, 19];2
10152996;23279256;9;1;[9, 19];2
10152996;23279256;19;1;[9, 19];2
10152996;23279376;9;1;[9, 19];2
10152996;23279376;19;1;[9, 19];2
10152996;23279376;9;1;[9, 19];2
10152996;23279376;19;1;[9, 19];2
10152996;23280094;9;1;[9, 19];2
10152996;23280094;19;1;[9, 19];2
10152996;23280094;9;1;[9, 21];2
10152996;23280094;19;1;[9, 21];2
10152996;30685065;9;1;[9, 19];2
10152996;30685065;21;1;[9, 19];2
10271188;23571840;3;1;[3, 7];2
10271188;23571840;7;1;[3, 7];2
10271188;23572171;3;1;[3, 7];2
10271188;23572171;7;1;[3, 7];2
11219315;26035599;3;1;[3, 11];2
11219315;26035599;11;1;[3, 11];2
11219315;26384113;3;1;[3, 11];2
11219315;26384113;11;1;[3, 11];2
12449605;29279046;3;1;[3, 9];2
12449605;29279046;9;1;[3, 9];2
12449605;29279313;3;1;[3, 9];2
12449605;29279313;9;1;[3, 9];2
12449605;29279974;3;1;[3, 9];2
15098707;36586427;7;1;[7, 9, 11, 13, 15, 17];6
15098707;36586427;9;1;[7, 9, 11, 13, 15, 17];6
15098707;36586427;11;1;[7, 9, 11, 13, 15, 17];6
15098707;36586427;13;1;[7, 9, 11, 13, 15, 17];6
15098707;36586427;15;1;[7, 9, 11, 13, 15, 17];6
15098707;36586427;16;2;[16, 18];2
15098707;36586427;17;1;[7, 9, 11, 13, 15, 17];6
15098707;36586427;18;2;[16, 18];2
15098707;36586761;7;1;[7, 9, 11, 13, 15, 17];6
15098707;36586761;9;1;[7, 9, 11, 13, 15, 17];6
15098707;36586761;11;1;[7, 9, 11, 13, 15, 17];6
15098707;36586761;13;1;[7, 9, 11, 13, 15, 17];6
15098707;36586761;15;1;[7, 9, 11, 13, 15, 17];6
15098707;36586761;16;2;[16, 18];2
15098707;36586761;17;1;[7, 9, 11, 13, 15, 17];6
15098707;36586761;18;2;[16, 18];2
17425853;43068029;4;2;[4, 6];2
17425853;43068029;6;2;[4, 6];2
17425853;43072741;4;2;[4, 6];2
17425853;43072741;6;2;[4, 6];2
20928013;54926184;4;2;[4, 6];2
22004725;58878153;2;2;[2, 4];2
24860446;69760945;7;1;[2, 6];2
28353196;83161426;6;2;[6, 10];2
28353196;83353703;6;2;[6, 10];2
28353196;83353703;10;2;[6, 10];2
28353196;83406139;6;2;[6, 10];2
28353196;83406139;10;2;[6, 10];2
29324525;86903744;3;2;[3, 6];2
29324525;86903994;3;2;[3, 6];2
29324525;86903994;6;2;[3, 6];2
29324525;86904113;3;2;[3, 6];2
29324525;86904113;6;2;[3, 6];2
29324525;86904113;3;2;[3, 6];2
29324525;86904113;6;2;[3, 6];2
29324525;86904266;3;2;[3, 6];2
29324525;86904266;6;2;[3, 6];2
30210507;90359227;5;1;[5, 12];2
30210507;90360184;5;1;[5, 12];2
30210507;90360184;12;1;[5, 12];2
30210507;90360398;5;1;[5, 12];2
30210507;90360398;12;1;[5, 12];2
30210507;90360398;2;2;[2, 6];2
30210507;90360398;5;1;[9, 16];2
30210507;90360398;12;1;[9, 16];2
30210507;90361200;9;1;[5, 12];2
30210507;90361200;16;1;[5, 12];2
30210507;90361200;2;2;[2, 6];2
30210507;90361200;6;2;[2, 6];2
30210507;90361200;9;1;[9, 16];2
30210507;90361200;16;1;[9, 16];2
30210507;90368715;2;2;[2, 6];2
30210507;90368715;6;2;[2, 6];2
30210507;90368715;9;1;[9, 16];2
30210507;90368715;16;1;[9, 16];2
30210507;90368715;9;1;[9, 16];2
