Id;PostHistoryTypeId;PostId;RevisionGUID;CreationDate;UserId;UserDisplayName;Comment;Text
246946;1;1669;896be742-8448-42f7-8ea6-52eef9c9a6b2;2008-08-04 22:46:37;340;;;Learning to write a compiler
246947;3;1669;896be742-8448-42f7-8ea6-52eef9c9a6b2;2008-08-04 22:46:37;340;;;<education>
246948;2;1669;896be742-8448-42f7-8ea6-52eef9c9a6b2;2008-08-04 22:46:37;340;;;I am looking for some helpful books/tutorials on how to write your own compiler simply for educational purposes. I am most familiar with C/C++, Java, and Ruby so I prefer resources that involve one those three, but any good resource is acceptable.
246949;6;1669;2111e23b-5319-498e-814e-a7df89a28158;2008-08-06 00:05:30;340;;;<education><resources>
246950;6;1669;a3e3ffb4-63c9-4b31-93b1-5503bf2f2328;2008-09-16 01:04:53;340;;Added list of resources;<resources><education>
246951;5;1669;2aea9bb8-b6f7-4afb-9007-65b80a97c418;2008-10-03 19:21:34;437;;The list of resources was moved to the accepted answer.;"I am looking for some helpful books/tutorials on how to write your own compiler simply for educational purposes. I am most familiar with C/C++, Java, and Ruby so I prefer resources that involve one those three, but any good resource is acceptable.&#xD;&#xA;"
246952;5;1669;a3e3ffb4-63c9-4b31-93b1-5503bf2f2328;2008-09-16 01:04:53;340;;Added list of resources;"I am looking for some helpful books/tutorials on how to write your own compiler simply for educational purposes. I am most familiar with C/C++, Java, and Ruby so I prefer resources that involve one those three, but any good resource is acceptable.&#xD;&#xA;&#xD;&#xA;Big List of Resources:&#xD;&#xA;----------------------&#xD;&#xA;&#xD;&#xA;  - [Dragon Book][1] - Widely considered ""the book"" for compiler writing. Chris Bunch also suggests to look at the Interpreter pattern in [Design Patterns][2].&#xD;&#xA;  - [Game Scripting Mastery][3]&#xD;&#xA;  - [Roll Your Own Compiler for the .NET framework][4]&#xD;&#xA;  - [Lets Build a Compiler][5]&#xD;&#xA;  - [Modern Compiler Implementation in ML][6] - There is a [Java][7] and [C][8] version as well.&#xD;&#xA;  - [Compiler Construction][9]&#xD;&#xA;  - [Linkers and Loaders][10]&#xD;&#xA;  - [LLVM Tutorial][11]&#xD;&#xA;  - [Reflections on Trusting and Trust][12]&#xD;&#xA;  - [Parsing Techniques - A Practical Guide][13]&#xD;&#xA;  - [Compiler Basics][14]&#xD;&#xA;  - [Writing a Compiler in Ruby Bottom Up][15]&#xD;&#xA;  - [A Nanopass Framework for Compiler Education][16]&#xD;&#xA;  - [An Incremental Approach to Compiler Construction][17] &#xD;&#xA;  - [Parrot Tutorial][18]&#xD;&#xA;  - [Want to Write a Compiler?][19]&#xD;&#xA;  - [Flipcode Article Archive][20]&#xD;&#xA;  - [Building a Parrot Compiler][21]&#xD;&#xA;&#xD;&#xA;If I forgot something already posted let me know in the comments or if you can edit the question yourself then go ahead and add it. I do plan on making it more organized than simply having a large list, but for now I'll use this as a start. Thank you everyone for your answers and if you find another good resource be sure to post it.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: http://en.wikipedia.org/wiki/Compilers:_Principles%2C_Techniques%2C_and_Tools&#xD;&#xA;  [2]: http://www.amazon.com/Design-Patterns-Object-Oriented-Addison-Wesley-Professional/dp/0201633612/&#xD;&#xA;  [3]: http://www.amazon.com/Scripting-Mastery-Premier-Press-Development/dp/1931841578/ref=sr_1_1?ie=UTF8&s=books&qid=1217890983&sr=8-1&#xD;&#xA;  [4]: http://msdn.microsoft.com/en-us/magazine/cc136756.aspx&#xD;&#xA;  [5]: http://compilers.iecc.com/crenshaw/&#xD;&#xA;  [6]: http://www.amazon.com/gp/product/0521607647?ie=UTF8&tag=dcooneycom-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0521607647&#xD;&#xA;  [7]: http://www.amazon.com/gp/product/052182060X?ie=UTF8&tag=dcooneycom-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=052182060X&#xD;&#xA;  [8]: http://www.amazon.com/gp/product/0521607655?ie=UTF8&tag=dcooneycom-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0521607655&#xD;&#xA;  [9]: http://www-old.oberon.ethz.ch/WirthPubl/CBEAll.pdf&#xD;&#xA;  [10]: http://tinyurl.com/5txtuk&#xD;&#xA;  [11]: http://llvm.org/docs/tutorial/&#xD;&#xA;  [12]: http://cm.bell-labs.com/who/ken/trust.html&#xD;&#xA;  [13]: http://www.cs.vu.nl/~dick/PTAPG.html&#xD;&#xA;  [14]: http://www.cs.man.ac.uk/~pjj/farrell/compmain.html&#xD;&#xA;  [15]: http://www.hokstad.com/writing-a-compiler-in-ruby-bottom-up-step-1.html&#xD;&#xA;  [16]: http://www.cs.indiana.edu/~dyb/pubs/nano-jfp.pdf&#xD;&#xA;  [17]: http://scheme2006.cs.uchicago.edu/11-ghuloum.pdf&#xD;&#xA;  [18]: http://www.parrotblog.org/2008/03/targeting-parrot-vm.html&#xD;&#xA;  [19]: http://prog21.dadgum.com/30.html&#xD;&#xA;  [20]: http://flipcode.com/archives/articles.shtml&#xD;&#xA;  [21]: http://www.onlamp.com/pub/a/onlamp/2004/04/15/parrot_compiler_construction.html"
246953;5;1669;1ad0e07b-3590-40bb-9916-50bc8dbe3cd7;2008-10-01 14:22:54;340;;Added a few more resoursces;"I am looking for some helpful books/tutorials on how to write your own compiler simply for educational purposes. I am most familiar with C/C++, Java, and Ruby so I prefer resources that involve one those three, but any good resource is acceptable.&#xD;&#xA;&#xD;&#xA;Big List of Resources:&#xD;&#xA;----------------------&#xD;&#xA;&#xD;&#xA;  - [Dragon Book][1] - Widely considered ""the book"" for compiler writing. Chris Bunch also suggests to look at the Interpreter pattern in [Design Patterns][2].&#xD;&#xA;  - [Game Scripting Mastery][3]&#xD;&#xA;  - [Roll Your Own Compiler for the .NET framework][4]&#xD;&#xA;  - [Lets Build a Compiler][5]&#xD;&#xA;  - [Modern Compiler Implementation in ML][6] - There is a [Java][7] and [C][8] version as well.&#xD;&#xA;  - [Compiler Construction][9]&#xD;&#xA;  - [Linkers and Loaders][10]&#xD;&#xA;  - [LLVM Tutorial][11]&#xD;&#xA;  - [Reflections on Trusting and Trust][12]&#xD;&#xA;  - [Parsing Techniques - A Practical Guide][13]&#xD;&#xA;  - [Compiler Basics][14]&#xD;&#xA;  - [Writing a Compiler in Ruby Bottom Up][15]&#xD;&#xA;  - [A Nanopass Framework for Compiler Education][16]&#xD;&#xA;  - [An Incremental Approach to Compiler Construction][17] &#xD;&#xA;  - [Parrot Tutorial][18]&#xD;&#xA;  - [Want to Write a Compiler?][19]&#xD;&#xA;  - [Flipcode Article Archive][20]&#xD;&#xA;  - [Building a Parrot Compiler][21]&#xD;&#xA;  - [Project Oberon][22] - Look at chapter 13&#xD;&#xA;  - [Implementing Functional Languages][23]&#xD;&#xA;&#xD;&#xA;If I forgot something already posted let me know in the comments or if you can edit the question yourself then go ahead and add it. I do plan on making it more organized than simply having a large list, but for now I'll use this as a start. Thank you everyone for your answers and if you find another good resource be sure to post it.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: http://en.wikipedia.org/wiki/Compilers:_Principles%2C_Techniques%2C_and_Tools&#xD;&#xA;  [2]: http://www.amazon.com/Design-Patterns-Object-Oriented-Addison-Wesley-Professional/dp/0201633612/&#xD;&#xA;  [3]: http://www.amazon.com/Scripting-Mastery-Premier-Press-Development/dp/1931841578/ref=sr_1_1?ie=UTF8&s=books&qid=1217890983&sr=8-1&#xD;&#xA;  [4]: http://msdn.microsoft.com/en-us/magazine/cc136756.aspx&#xD;&#xA;  [5]: http://compilers.iecc.com/crenshaw/&#xD;&#xA;  [6]: http://www.amazon.com/gp/product/0521607647?ie=UTF8&tag=dcooneycom-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0521607647&#xD;&#xA;  [7]: http://www.amazon.com/gp/product/052182060X?ie=UTF8&tag=dcooneycom-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=052182060X&#xD;&#xA;  [8]: http://www.amazon.com/gp/product/0521607655?ie=UTF8&tag=dcooneycom-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0521607655&#xD;&#xA;  [9]: http://www-old.oberon.ethz.ch/WirthPubl/CBEAll.pdf&#xD;&#xA;  [10]: http://tinyurl.com/5txtuk&#xD;&#xA;  [11]: http://llvm.org/docs/tutorial/&#xD;&#xA;  [12]: http://cm.bell-labs.com/who/ken/trust.html&#xD;&#xA;  [13]: http://www.cs.vu.nl/~dick/PTAPG.html&#xD;&#xA;  [14]: http://www.cs.man.ac.uk/~pjj/farrell/compmain.html&#xD;&#xA;  [15]: http://www.hokstad.com/writing-a-compiler-in-ruby-bottom-up-step-1.html&#xD;&#xA;  [16]: http://www.cs.indiana.edu/~dyb/pubs/nano-jfp.pdf&#xD;&#xA;  [17]: http://scheme2006.cs.uchicago.edu/11-ghuloum.pdf&#xD;&#xA;  [18]: http://www.parrotblog.org/2008/03/targeting-parrot-vm.html&#xD;&#xA;  [19]: http://prog21.dadgum.com/30.html&#xD;&#xA;  [20]: http://flipcode.com/archives/articles.shtml&#xD;&#xA;  [21]: http://www.onlamp.com/pub/a/onlamp/2004/04/15/parrot_compiler_construction.html&#xD;&#xA;  [22]: http://www-old.oberon.ethz.ch/WirthPubl/ProjectOberon.pdf&#xD;&#xA;  [23]: http://research.microsoft.com/~simonpj/papers/pj-lester-book/"
1362715;16;1669;1a31d560-e24b-4553-a521-3988c18a3583;2008-10-01 09:30:26;-1;;;
2604440;6;1669;1dfa976d-a915-4a75-b168-15bb764fd0c0;2009-08-24 16:03:08;45914;;edited tags;<resources><education><compiler-theory>
