Id;PostHistoryTypeId;PostId;RevisionGUID;CreationDate;UserId;UserDisplayName;Comment;Text
22583841;2;9875710;b77c0329-4369-4ae7-9947-72738e2c02e7;2012-03-26 16:11:16;900807;;;<script src="https://gist.github.com/2206057.js?file=jqExtCursor.js"></script>
22583844;12;9875710;b6403345-559b-44c5-9daa-253e63fbfbfe;2012-03-26 16:11:20;900807;;;{"Voters":[{"Id":900807,"DisplayName":"SpYk3HH"}]}
22585938;5;9875710;1cb680a0-3cf0-433f-942d-467b03fc9a64;2012-03-26 17:09:08;900807;;added 721 characters in body;"I have a nice jQuery Extension perfect for this type of thing at this gist:&#xD;&#xA;&#xD;&#xA;> https://gist.github.com/2206057&#xD;&#xA;&#xD;&#xA;To use it just do something like:&#xD;&#xA;&#xD;&#xA;    $(""#eleID"").cursor(); // will return current cursor state for that element&#xD;&#xA;    $(""#eleID"").cursor(""pointer""); // will change ele cursor to whatever is """"&#xD;&#xA;    $(""#eleID"").cursor(""clear""); // will change ele cursor to default&#xD;&#xA;    $(""#eleID"").cursor(""ishover""); // will return boolean of if mouse is over element or not&#xD;&#xA;    $(""#eleID"").cursor(""position""); // will return current cursor position in ""relation"" to element&#xD;&#xA;&#xD;&#xA;also &#xD;&#xA;&#xD;&#xA;    $.cursor(""wait"") // will change document cursor to whatever is """"&#xD;&#xA;    $.cursor($(""#eleID""), ""wait""); // same as $(""#eleID"").cursor(""wait"");&#xD;&#xA;    $.cursor(""position"") // will return current cursor position"
22585948;13;9875710;e20f5cce-70bc-4815-873d-8f62df4893eb;2012-03-26 17:09:20;900807;;;{"Voters":[{"Id":900807,"DisplayName":"SpYk3HH"}]}
22587012;5;9875710;52a2dc0a-5d0b-4c6b-ad53-40a9b928ad86;2012-03-26 17:39:49;900807;;added 422 characters in body;"I have a nice jQuery Extension perfect for this type of thing at this gist:&#xD;&#xA;&#xD;&#xA;> https://gist.github.com/2206057&#xD;&#xA;&#xD;&#xA;To use it just do something like:&#xD;&#xA;&#xD;&#xA;    $(""#eleID"").cursor(); // will return current cursor state for that element&#xD;&#xA;    $(""#eleID"").cursor(""pointer""); // will change ele cursor to whatever is """"&#xD;&#xA;    $(""#eleID"").cursor(""clear""); // will change ele cursor to default&#xD;&#xA;    $(""#eleID"").cursor(""ishover""); // will return boolean of if mouse is over element or not&#xD;&#xA;    $(""#eleID"").cursor(""position""); // will return cursor's current position in ""relation"" to element&#xD;&#xA;&#xD;&#xA;also &#xD;&#xA;&#xD;&#xA;    $.cursor(""wait"") // will change document cursor to whatever is """"&#xD;&#xA;    $.cursor($(""#eleID""), ""wait""); // same as $(""#eleID"").cursor(""wait"");&#xD;&#xA;    $.cursor(""position"") // will return current cursor position&#xD;&#xA;&#xD;&#xA;should also mention, if you submit multiple elements like `$(""#eleID1, .elementsWiththisClass"")` for ""position"" and ""isHover"" then it will return an `Array` containing objects like:&#xD;&#xA;&#xD;&#xA;    var poses = $(""#eleID1, .elementsWiththisClass"").cursor(""position"") //  will equal&#xD;&#xA;    poses[0] = {&#xD;&#xA;        ele: e.fn.e.init[1], // the jquery element&#xD;&#xA;        x: XXX, //  where XXX is the cursors current position in relation to element&#xD;&#xA;        y: XXX&#xD;&#xA;    }&#xD;&#xA;    poses[1] = { // ...and so on and so forth for each element"
