Id;PostId;UserId;PostHistoryTypeId;RevisionGUID;CreationDate;Text;UserDisplayName;Comment
36641798;15119106;1773207;2;c30df297-76d7-4751-a6eb-f6ec70ee495b;2013-02-27 18:04:23.0;"    Here is my struts.xml&#xD;&#xA;&#xD;&#xA;    <package name=""ajax"" extends=""json-default"" >&#xD;&#xA;&#xD;&#xA;    	<action name=""loadcity""  method=""loadcity"" class=""roseindia.action.user.RegisterUser"" >&#xD;&#xA;    		<result  type=""json"" />&#xD;&#xA;    	</action>&#xD;&#xA;&#xD;&#xA;    </package>&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;When I am calling laodcity.action I am getting following error &#xD;&#xA;&#xD;&#xA;No result defined for action roseindia.action.user.RegisterUser and result input&#xD;&#xA;&#xD;&#xA;Here is my action method:&#xD;&#xA;&#xD;&#xA;      public String loadcity()&#xD;&#xA;  { &#xD;&#xA;      &#xD;&#xA;       country=request.getParameter(""country"");&#xD;&#xA;      &#xD;&#xA;         cityList=  dao.loadcity(country);&#xD;&#xA;     return ActionSupport.SUCCESS;&#xD;&#xA;      }&#xD;&#xA;	&#xD;&#xA;	";;
36642171;15119106;1883647;5;8ab57d88-d714-4ea7-986a-3b70fccbca65;2013-02-27 18:12:01.0;"Here is my struts.xml&#xD;&#xA;&#xD;&#xA;    <package name=""ajax"" extends=""json-default"" >&#xD;&#xA;&#xD;&#xA;    	<action name=""loadcity""  method=""loadcity"" class=""roseindia.action.user.RegisterUser"" >&#xD;&#xA;    		<result  type=""json"" />&#xD;&#xA;    	</action>&#xD;&#xA;&#xD;&#xA;    </package>&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;When I am calling `loadcity.action` I am getting following error &#xD;&#xA;&#xD;&#xA;    No result defined for action roseindia.action.user.RegisterUser and result input&#xD;&#xA;&#xD;&#xA;Here is my action method:&#xD;&#xA;&#xD;&#xA;    public String loadcity()&#xD;&#xA;    { &#xD;&#xA;        country=request.getParameter(""country"");&#xD;&#xA;      &#xD;&#xA;        cityList=  dao.loadcity(country);&#xD;&#xA;        return ActionSupport.SUCCESS;&#xD;&#xA;    }&#xD;&#xA;	&#xD;&#xA;	";;Fixed code annotations
62239722;15119106;573032;5;0f35557d-fa93-48b2-ae05-37d1ce52d4e3;2014-04-06 20:43:17.0;"Here is my `struts.xml`&#xD;&#xA;&#xD;&#xA;    <package name=""ajax"" extends=""json-default"" >&#xD;&#xA;    	<action name=""loadcity""  method=""loadcity"" class=""roseindia.action.user.RegisterUser"" >&#xD;&#xA;    		<result  type=""json"" />&#xD;&#xA;    	</action>&#xD;&#xA;    </package>&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;When I am calling `loadcity.action` I am getting following error &#xD;&#xA;&#xD;&#xA;    No result defined for action roseindia.action.user.RegisterUser and result input&#xD;&#xA;&#xD;&#xA;Here is my action method:&#xD;&#xA;&#xD;&#xA;    public String loadcity()&#xD;&#xA;    { &#xD;&#xA;        country=request.getParameter(""country"");&#xD;&#xA;      &#xD;&#xA;        cityList=  dao.loadcity(country);&#xD;&#xA;        return ActionSupport.SUCCESS;&#xD;&#xA;    }&#xD;&#xA;	&#xD;&#xA;	";;"deleted 2 characters in body; edited tags"
