PostId,PostTypeId
18410465,1
18465200,1
18494307,1
18557870,1
18598659,1
18615691,1
18651446,1
18694510,1
18742392,1
18761980,1
18782385,1
18795344,1
18807809,1
18937897,1
19011842,1
19167313,1
19202965,1
19320706,1
19323736,1
19454455,1
19626023,1
19633378,1
19643531,1
19826145,1
19840981,1
19899682,1
19906360,1
19984984,1
20074277,1
20087291,1
20123162,1
20218770,1
20289902,1
20309022,1
20347509,1
20398164,1
20510783,1
20676108,1
20713616,1
20746030,1
20761393,1
20806510,1
20916252,1
20959509,1
21058833,1
21253463,1
21335249,1
21342406,1
21468381,1
21471699,1
21705091,1
21744465,1
21782667,1
21856205,1
21938536,1
22024299,1
22068952,1
22128644,1
22300279,1
22325830,1
22418638,1
22766116,1
22820036,1
22949964,1
22967345,1
23206921,1
23267636,1
23272919,1
23285478,1
23315036,1
23350135,1
23501422,1
23607775,1
23613086,1
23708849,1
23754712,1
23760074,1
23873880,1
23879425,1
23999456,1
24016105,1
24127944,1
24152997,1
24224816,1
24368162,1
24415266,1
24535045,1
24642809,1
24892229,1
24948169,1
24999046,1
25063454,1
25141039,1
25153663,1
25160258,1
25192714,1
25222848,1
25263777,1
25445669,1
25497041,1
25552684,1
25565482,1
25586330,1
25589187,1
25590545,1
25637654,1
25679841,1
25707906,1
25898416,1
25945260,1
25951985,1
25993920,1
26139181,1
26235159,1
26267828,1
26430595,1
26434500,1
26526072,1
26655717,1
26685448,1
26689420,1
26743839,1
26759861,1
26826667,1
26848910,1
26857676,1
26861345,1
26887311,1
26910647,1
26991379,1
27264499,1
27397248,1
27430717,1
27480465,1
27729642,1
27737751,1
27783613,1
27810953,1
27912057,1
27966400,1
28138393,1
28203062,1
28362910,1
28364359,1
28428391,1
28564668,1
28715942,1
28728459,1
29021937,1
29067865,1
29205057,1
29322591,1
29322670,1
29326022,1
29481834,1
29554721,1
29607383,1
29608446,1
29761158,1
29821795,1
29838498,1
29866225,1
29897721,1
29986571,1
30068044,1
30119753,1
30153035,1
30205792,1
30214224,1
30282966,1
30321032,1
30330676,1
30399470,1
30475581,1
30513885,1
30517842,1
30549315,1
30653965,1
30699599,1
30721679,1
30751222,1
41793351,1
48135162,1
48217540,1
48951561,1
49109111,1
49147945,1
49163064,1
49164186,1
49196112,1
49211907,1
49213431,1
49213503,1
49214773,1
49215279,1
49216199,1
49216398,1
49216410,1
49216435,1
49216582,1
49216710,1
49216717,1
49216746,1
49216753,1
