PostId,PostTypeId,PostHistoryId
1223598,2,2398799
1312996,2,2583041
1360993,2,2683225
1397049,2,2761336
1398840,2,2762355
5864258,2,12646646
9875710,2,22583841
1257964,1,2575481
1450250,1,2870161
