Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;winnowingThreeGramJaccard;0.3;22037280;58996741;10;0;0;0;0;1;0;0;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;58997388;10;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;59004094;10;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;59078493;10;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;60329723;10;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;69262919;10;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;147248795;10;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;58996741;6;0;0;0;0;1;0;0;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;58997388;6;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;59004094;6;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;59078493;6;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;60329723;6;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;69262919;6;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;147248795;6;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;58996741;5;0;0;0;0;0;0;0;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;58997388;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;59004094;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;59078493;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;60329723;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;69262919;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;147248795;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;58996741;8;0;0;0;0;1;0;0;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;58997388;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;59004094;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;59078493;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;60329723;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;69262919;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;147248795;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;58996741;8;0;0;0;0;0;0;0;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;58997388;8;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;59004094;8;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;59078493;8;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;60329723;8;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;69262919;8;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;147248795;8;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;60329723;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;147248795;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
