Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;winnowingThreeGramJaccard;0.3;22037280;58996741;13;0;0;0;0;1;0;0;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;58997388;13;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;59004094;13;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;59078493;13;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;60329723;13;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;69262919;13;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccard;0.3;22037280;147248795;13;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;58996741;11;0;0;0;0;1;0;0;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;58997388;11;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;59004094;11;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;59078493;11;2;6;0;1;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;60329723;11;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;69262919;11;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccard;0.3;22037280;147248795;11;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;58996741;9;0;0;0;0;1;0;0;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;58997388;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;59004094;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;59078493;9;2;6;0;1;1;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;60329723;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;69262919;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramJaccard;0.3;22037280;147248795;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;58996741;16;0;0;0;0;1;0;0;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;58997388;16;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;59004094;16;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;59078493;16;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;60329723;16;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;69262919;16;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramJaccardNormalized;0.3;22037280;147248795;16;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;58996741;9;0;0;0;0;1;0;0;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;58997388;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;59004094;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;59078493;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;60329723;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;69262919;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramJaccardNormalized;0.3;22037280;147248795;9;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;58996741;7;0;0;0;0;1;0;0;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;58997388;7;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;59004094;7;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;59078493;7;2;6;0;1;1;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;60329723;7;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;69262919;7;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramJaccardNormalized;0.3;22037280;147248795;7;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;58996741;10;0;0;0;0;0;0;0;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;58997388;10;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;59004094;10;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;59078493;10;2;6;0;1;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;60329723;10;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;69262919;10;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;147248795;10;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;60329723;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;147248795;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;58996741;7;0;0;0;0;0;0;0;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;58997388;7;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;59004094;7;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;59078493;7;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;60329723;7;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;69262919;7;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;147248795;7;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;58996741;5;0;0;0;0;0;0;0;0;0
TestManager;winnowingFourGramDice;0.3;22037280;58997388;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;59004094;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;59078493;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;60329723;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;69262919;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;147248795;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;58996741;5;0;0;0;0;0;0;0;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;58997388;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;59004094;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;59078493;5;2;6;0;1;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;60329723;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;69262919;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;147248795;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;58996741;8;0;0;0;0;1;0;0;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;58997388;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;59004094;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;59078493;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;60329723;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;69262919;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;147248795;8;3;6;0;0;1;2;2;0;0
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;58996741;8;0;0;0;0;0;0;0;0;0
