PostId,PostTypeId
29813692,1
54102690,1
55684520,1
56551850,1
57131927,1
57994138,1
58425369,1
58514081,1
59377731,1
60025479,1
60218685,1
60222862,1
60301806,1
60310175,1
60319418,1
60319515,1
60360829,1
60363001,1
60364719,1
60381630,1
60409915,1
60410864,1
60425849,1
60436846,1
60440973,1
60452877,1
60455638,1
60461254,1
60463400,1
60463582,1
60464561,1
60464700,1
60465070,1
60465085,1
60466445,1
60466967,1
60467560,1
60467762,1
60468066,1
60469494,1
60469780,1
60469896,1
60469943,1
60470333,1
60470829,1
60471096,1
60471211,1
60472320,1
60472543,1
60472586,1
60472646,1
60472666,1
60472698,1
60472714,1
60472802,1
38540196,2
38540265,2
55684711,2
56553308,2
59676925,2
60023883,2
60023956,2
60024746,2
60363109,2
60412004,2
60440951,2
60441124,2
60445776,2
60454710,2
60463488,2
60464670,2
60465071,2
60466477,2
60468727,2
60469473,2
60469762,2
60471687,2
60471690,2
60471908,2
60472427,2
60472473,2
60472515,2
60472520,2
60472529,2
60472656,2
60472685,2
60472720,2
60472731,2
60472734,2
60472743,2
60472747,2
60472805,2
60472842,2
